iter	MultiClass
259	0.1113445046
260	0.1111538154
261	0.1107597475
262	0.1104774813
263	0.1101813738
264	0.1095931259
265	0.1093191636
266	0.1089868648
267	0.1085559571
268	0.1084198728
269	0.1080059081
270	0.1076002257
271	0.1074444074
272	0.107169884
273	0.1068835467
274	0.1067229867
275	0.1062692732
276	0.1060049629
277	0.1058330379
278	0.10569529
279	0.1054464124
280	0.1051934379
281	0.1049839887
282	0.1047076021
283	0.1044317672
284	0.1041233293
285	0.1037851622
286	0.1034232937
287	0.1031210048
288	0.1028159929
289	0.1022473608
290	0.101900052
291	0.1015906123
292	0.1013409945
293	0.1009976629
294	0.1007265939
295	0.1005721712
296	0.1003256147
297	0.1000703414
298	0.09983678441
299	0.0995689134
300	0.09914427546
301	0.09876343291
302	0.09852737319
303	0.09822630721
304	0.09799093068
305	0.09782739201
306	0.09743736511
307	0.09716717659
308	0.09703039806
309	0.09678205615
310	0.09645497117
311	0.09622520295
312	0.09599503527
313	0.0958845668
314	0.09573195572
315	0.09539882317
316	0.09509068332
317	0.09485422773
318	0.09448782441
319	0.09418241762
320	0.09404654968
321	0.09390320892
322	0.09368523298
323	0.09348353977
324	0.09334454686
325	0.09292726459
326	0.09279192394
327	0.09252364812
328	0.09225622409
329	0.09196986929
330	0.09173122044
331	0.09135871313
332	0.09111093841
333	0.09078755886
334	0.0906827132
335	0.09044085809
336	0.09015213628
337	0.0899560481
338	0.08975874071
339	0.08957806316
340	0.08934981243
341	0.08906722851
342	0.08893759985
343	0.0887671693
344	0.08836143189
345	0.08821555657
346	0.08802163819
347	0.08774295355
348	0.08757773475
349	0.08730091802
350	0.08710403529
351	0.086943195
352	0.08671408819
353	0.08643050917
354	0.08625185836
355	0.08607079703
356	0.08580763234
357	0.08563351123
358	0.08529894708
359	0.08497104363
360	0.08486391948
361	0.08466821695
362	0.08453941707
363	0.08442924078
364	0.08431630724
365	0.08390824289
366	0.08374157453
367	0.08359192738
368	0.08335515576
369	0.08316892117
370	0.082996621
371	0.0828070862
372	0.08262743076
373	0.0824910428
374	0.08220553128
375	0.08201337739
376	0.08178222002
377	0.0815582619
378	0.08141432238
379	0.08124058212
380	0.0809977211
381	0.08086761387
382	0.08068207357
383	0.08055762931
384	0.08038083719
385	0.08013620105
386	0.07999688624
387	0.07989118742
388	0.07966430857
389	0.07949422669
390	0.07922798517
391	0.07904292173
392	0.07889769896
393	0.07840659528
394	0.07832765397
395	0.07821440276
396	0.07803782214
397	0.07785068198
398	0.07775195745
399	0.07764591946
400	0.07746466235
401	0.07736712206
402	0.07715590611
403	0.07703928958
404	0.07691226359
405	0.07673001463
406	0.07656643724
407	0.07641133876
408	0.07607286071
409	0.07566682707
410	0.07551668119
411	0.07525945879
412	0.07507803831
413	0.07484498073
414	0.07442960281
415	0.07416380109
416	0.07399128364
417	0.07386682604
418	0.07372474905
419	0.07351969225
420	0.07342387074
421	0.07327817375
422	0.07322099724
423	0.07309578105
424	0.07299797482
425	0.07287600937
426	0.07278136154
427	0.07268134435
428	0.0726052273
429	0.07249222228
430	0.07220753674
431	0.07200358942
432	0.07186671496
433	0.07174494089
434	0.07156774804
435	0.07129566892
436	0.07120438885
437	0.07098317747
438	0.07085905618
439	0.07070396632
440	0.07046259884
441	0.07022756801
442	0.07007473686
443	0.06981389477
444	0.06966441741
445	0.06953536378
446	0.06933093869
447	0.06922574055
448	0.06907733057
449	0.06897713193
450	0.0688675825
451	0.06867174694
452	0.06848513428
453	0.0682851025
454	0.06817504209
455	0.06807463907
456	0.06797100754
457	0.06782665819
458	0.06770812797
459	0.06752670244
460	0.06738180042
461	0.06728897641
462	0.06718908341
463	0.06701633866
464	0.06686382948
465	0.0666800619
466	0.06650897205
467	0.0663699779
468	0.06618195511
469	0.06598927774
470	0.06592365987
471	0.06583414138
472	0.06555141371
473	0.06544257371
474	0.06535140287
475	0.06522117681
476	0.06512438718
477	0.06497833602
478	0.06481952789
479	0.06473596882
480	0.06455791486
481	0.06443503261
482	0.06427682909
483	0.06416787686
484	0.06397920417
485	0.06388728757
486	0.06369232948
487	0.06359448323
488	0.06345210011
489	0.06339017159
490	0.06332526482
491	0.0631233325
492	0.06308914889
493	0.06296865778
494	0.06280095985
495	0.06265937703
496	0.06240428174
497	0.06217517742
498	0.06202258143
499	0.06193046187
500	0.06176525598
501	0.06161075272
502	0.06146485239
503	0.0613368919
504	0.06120171035
505	0.06111615045
506	0.06098341416
507	0.0608139281
508	0.06075490041
509	0.06062763285
510	0.06037771472
511	0.06030467772
512	0.06020886075
513	0.06004441992
514	0.05995075149
515	0.05989500674
516	0.0597886699
517	0.05969999489
518	0.05952547816
519	0.05945411805
520	0.05933980656
521	0.05925424257
522	0.05920161351
523	0.05905253274
524	0.05888812323
525	0.05880136156
526	0.05864097982
527	0.05850975999
528	0.05835534552
529	0.05823055206
530	0.05809914139
531	0.05803000533
532	0.05791169694
533	0.05781092143
534	0.05769933626
535	0.05753781569
536	0.05738878158
537	0.05727055549
538	0.05715386013
539	0.05709952392
540	0.05697505205
541	0.05684875003
542	0.05674295157
543	0.05661260048
544	0.05654442356
545	0.05643691116
546	0.05634853409
547	0.05627865568
548	0.05621152569
549	0.0561379472
550	0.05601944306
551	0.05593173173
552	0.05584979967
553	0.05575751883
554	0.05563268024
555	0.05550928773
556	0.05534345435
557	0.05525509029
558	0.05515079092
559	0.05499729568
560	0.05483756005
561	0.05471387687
562	0.05455134564
563	0.0544028514
564	0.05433077875
565	0.05417593969
566	0.05411128412
567	0.05401195298
568	0.0539203851
569	0.05380550788
570	0.05359348563
571	0.05355363592
572	0.05340343019
573	0.05330139274
574	0.05311679888
575	0.05304125707
576	0.0529300833
577	0.05285705298
578	0.05272781107
579	0.052678639
580	0.05260697624
581	0.05244964501
582	0.0523671126
583	0.05230793517
584	0.05220546491
585	0.05200887603
586	0.05186530702
587	0.05171106435
588	0.05165397627
589	0.05161873685
590	0.05155326714
591	0.05143322047
592	0.05134969961
593	0.05128909592
594	0.05123091719
595	0.05115709545
596	0.05108627394
597	0.05100908908
598	0.05089451222
599	0.05078218407
600	0.05071037264
601	0.0506065475
602	0.05048055525
603	0.05040999759
604	0.05033195676
605	0.05024451816
606	0.05017679493
607	0.05009782569
608	0.05001963199
609	0.04995345361
610	0.04986389393
611	0.04980126814
612	0.04969774016
613	0.04963031224
614	0.04948091645
615	0.04942885063
616	0.04927133694
617	0.049175256
618	0.04909260362
619	0.04901625335
620	0.04891554402
621	0.04882088065
622	0.04874949736
623	0.04869299835
624	0.04858604984
625	0.04854652089
626	0.04846532127
627	0.04836187084
628	0.04821768959
629	0.04811736764
630	0.04802309258
631	0.04795959877
632	0.0479022673
633	0.04780332339
634	0.04773992717
635	0.04759687001
636	0.04748854761
637	0.04743144191
638	0.04728204755
639	0.04725006785
640	0.04718474813
641	0.04707636439
642	0.04700638059
643	0.04696868151
644	0.04690906663
645	0.04683428241
646	0.04670919249
647	0.04663395681
648	0.04654478193
649	0.04644909687
650	0.04641366445
651	0.04639158596
652	0.04630122649
653	0.04620166967
654	0.04611118891
655	0.04606693593
656	0.04596712969
657	0.04588639838
658	0.04574572733
659	0.04559492687
660	0.0455320507
661	0.04547409367
662	0.0453982812
663	0.04530403235
664	0.04520417471
665	0.04514694621
666	0.04503914837
667	0.04500387333
668	0.04493886003
669	0.04487114858
670	0.04477963795
671	0.0446918122
672	0.04461188842
673	0.04454969965
674	0.04447820248
675	0.04443381708
676	0.04438481155
677	0.04427822744
678	0.04422845799
679	0.0441585941
680	0.04403234832
681	0.04394236577
682	0.04382154526
683	0.04373705318
684	0.04364746876
685	0.04356356776
686	0.04343209422
687	0.04332431035
688	0.04326586911
689	0.0431839698
690	0.04308850806
691	0.04304403102
692	0.04296808656
693	0.04289068022
694	0.04276383921
695	0.04271574208
696	0.04263691679
697	0.04261150286
698	0.04252697791
699	0.04241628716
700	0.04237740561
701	0.04231421481
702	0.04229670347
703	0.04219589887
704	0.04214625968
705	0.0420396432
706	0.04198463206
707	0.04192811579
708	0.04186387252
709	0.04180997974
710	0.04174362519
711	0.0416802602
712	0.04162985691
713	0.04160010645
714	0.04154583324
715	0.04148768153
716	0.04142536714
717	0.04131154028
718	0.0412578747
719	0.04117656202
720	0.04106131147
721	0.04096926179
722	0.0408953091
723	0.04081859204
724	0.04072662208
725	0.04070978279
726	0.04062914268
727	0.04057027111
728	0.04049612341
729	0.04044301634
730	0.04040918766
731	0.0403645797
732	0.0402470828
733	0.0401880978
734	0.04014272273
735	0.04011086441
736	0.04005603766
737	0.04000067539
738	0.03995541907
739	0.03983106125
740	0.03978492741
741	0.03970747465
742	0.03957711426
743	0.0395342348
744	0.03943926642
745	0.03937596325
746	0.03932807703
747	0.03926334592
748	0.03924984059
749	0.03916349562
750	0.03907418234
751	0.03902126545
752	0.0389483335
753	0.03889989952
754	0.03882301313
755	0.03873379922
756	0.03869867713
757	0.0386153839
758	0.03853285449
759	0.03846275722
760	0.0384321145
761	0.03836194763
762	0.03827806911
763	0.03819006873
764	0.03817544135
765	0.03814257649
766	0.03806095002
767	0.03798012445
768	0.03793819727
769	0.0378493244
770	0.03779438135
771	0.03771880625
772	0.03764753794
773	0.03758870481
774	0.03753510224
775	0.03749260994
776	0.03743444107
777	0.03737441671
778	0.0372720171
779	0.03720376954
780	0.03716808824
781	0.03709554854
782	0.03705880059
783	0.03698025732
784	0.03696910166
785	0.03688276895
786	0.0367873721
787	0.03674428642
788	0.03670101129
789	0.03666751638
790	0.0366161706
791	0.03651467648
792	0.03641794641
793	0.03635290359
794	0.03629456087
795	0.03624682803
796	0.03617321815
797	0.03610359287
798	0.03605116133
799	0.03599469751
800	0.03597216133
801	0.03594042177
802	0.03586509027
803	0.03582959218
804	0.03576479844
805	0.03564443129
806	0.03560226187
807	0.03555603269
808	0.03549050009
809	0.03546212849
810	0.03541776161
811	0.03537851987
812	0.03531577221
813	0.03523985182
814	0.03518900413
815	0.03514414101
816	0.03509299239
817	0.03504983443
818	0.03496205127
819	0.03487086846
820	0.03481524709
821	0.03478936639
822	0.03473523293
823	0.03469378213
824	0.03464099369
825	0.03459967878
826	0.03456303786
827	0.03449229328
828	0.03443024279
829	0.03438251739
830	0.03434541298
831	0.0342799929
832	0.03415010125
833	0.03409846555
834	0.03405338646
835	0.03398126062
836	0.03394520482
837	0.03389942393
838	0.03387847985
839	0.03382774327
840	0.03377081009
841	0.03373509149
842	0.03370285456
843	0.03366009936
844	0.03360747324
845	0.03355594581
846	0.03352020541
847	0.03345373225
848	0.03340506689
849	0.03334744928
850	0.03329621413
851	0.03324669916
852	0.03321534106
853	0.03316409263
854	0.03309077405
855	0.03305468494
856	0.03298896896
857	0.03291364266
858	0.03288644702
859	0.0328386772
860	0.03281633621
861	0.03278959279
862	0.0326876356
863	0.03261513663
864	0.03257214537
865	0.03246877373
866	0.03239879807
867	0.03236850041
868	0.03231029395
869	0.03217861374
870	0.03209668467
871	0.03204636387
872	0.03199761741
873	0.03194823117
874	0.03191482202
875	0.03187717283
876	0.03181189088
877	0.03175968887
878	0.03170441868
879	0.03166287416
880	0.03163655885
881	0.03157459109
882	0.03152606678
883	0.0314738919
884	0.03143158143
885	0.0313883415
886	0.0313155822
887	0.0312240783
888	0.03117997293
889	0.03113514632
890	0.03108961927
891	0.03100341838
892	0.03094014762
893	0.03090248358
894	0.03084221796
895	0.03077170484
896	0.03073143236
897	0.03069162092
898	0.03063435487
899	0.03060208433
900	0.0305847275
901	0.03053754197
902	0.03049406326
903	0.0304552702
904	0.03038347814
905	0.03035767591
906	0.03032231037
907	0.03028622587
908	0.03024120146
909	0.03018148958
910	0.03014891535
911	0.03008534655
912	0.03003118553
913	0.02999774311
914	0.02997127057
915	0.02994608691
916	0.02990550182
917	0.02986544678
918	0.02982037228
919	0.02976624597
920	0.02970419603
921	0.02969344141
922	0.0296482467
923	0.02959009336
924	0.02957778761
925	0.02949945453
926	0.02942987007
927	0.02936755728
928	0.02932891681
929	0.02929662025
930	0.02925248257
931	0.02920406227
932	0.02918948023
933	0.02914363923
934	0.02911491189
935	0.02908341131
936	0.02905690768
937	0.028983482
938	0.02892880331
939	0.02887676026
940	0.02883930761
941	0.02878287313
942	0.0287509753
943	0.0287092012
944	0.02868089598
945	0.02865257297
946	0.02859706719
947	0.02855942208
948	0.02851762323
949	0.02847738178
950	0.02842949617
951	0.02837501143
952	0.02831664754
953	0.02824861022
954	0.02817951358
955	0.0281444019
956	0.02808209364
957	0.02803305414
958	0.02800618655
959	0.02793831313
960	0.02789565887
961	0.0278320854
962	0.02781272145
963	0.0277659985
964	0.02772080328
965	0.02766501298
966	0.02758883176
967	0.02752566107
968	0.02749511932
969	0.02744682179
970	0.02742209884
971	0.02739779527
972	0.02735061234
973	0.02731125175
974	0.02725383176
975	0.02718177685
976	0.02713440993
977	0.02710990504
978	0.0270841393
979	0.02699643838
980	0.02693510967
981	0.02690574883
982	0.0268218436
983	0.02679601364
984	0.02677029603
985	0.02675319102
986	0.0267167748
987	0.02669948052
988	0.02666550353
989	0.02661461851
990	0.02657466589
991	0.02653692016
992	0.02650418762
993	0.026479732
994	0.02643301142
995	0.02637031393
996	0.02633842659
997	0.02625901873
998	0.02621840161
999	0.02619063822
