iter	Passed	Remaining
349	1138392	2114157
350	1142903	2113232
351	1147543	2112523
352	1152292	2111992
353	1155847	2109259
354	1159326	2106381
355	1162161	2102337
356	1166014	2100132
357	1169866	2097917
358	1173615	2095508
359	1176199	2091020
360	1178946	2086833
361	1182213	2083568
362	1185395	2080155
363	1188576	2076743
364	1191080	2072154
365	1194332	2068870
366	1198189	2066631
367	1202053	2064396
368	1204796	2060234
369	1207440	2055912
370	1210775	2052770
371	1213292	2048245
372	1216114	2044246
373	1219460	2041129
374	1221926	2036544
375	1225284	2033450
376	1228930	2030831
377	1232534	2028139
378	1234856	2023340
379	1237695	2019398
380	1240891	2016041
381	1243245	2011324
382	1246435	2007965
383	1249463	2004347
384	1251858	1999721
385	1255344	1996843
386	1259121	1994421
387	1262442	1991275
388	1264776	1986577
389	1268022	1983317
390	1270594	1979008
391	1273527	1975266
392	1277256	1972759
393	1280882	1970087
394	1283343	1965627
395	1286290	1961917
396	1289316	1958332
397	1291797	1953924
398	1295128	1950807
399	1297634	1946452
400	1300676	1942905
401	1303859	1939572
402	1306285	1935118
403	1309564	1931931
404	1312494	1928232
405	1315242	1924271
406	1319179	1922048
407	1322777	1919323
408	1325953	1915986
409	1328353	1911532
410	1331552	1908234
411	1334483	1904553
412	1337259	1900657
413	1340693	1897696
414	1343187	1893408
415	1346322	1890030
416	1349035	1886061
417	1352089	1882573
418	1355768	1879955
419	1359546	1877468
420	1362404	1873710
421	1364996	1869592
422	1368420	1866615
423	1370791	1862206
424	1373814	1858690
425	1377099	1855528
426	1379668	1851404
427	1382749	1847973
428	1385415	1843991
429	1388574	1840669
430	1392456	1838300
431	1396037	1835531
432	1398771	1831647
433	1401211	1827387
434	1404560	1824314
435	1407074	1820160
436	1409701	1816160
437	1413168	1813242
438	1415725	1809162
439	1418733	1805660
440	1421758	1802184
441	1424858	1798802
442	1428164	1795683
443	1430683	1791576
444	1434190	1788708
445	1437962	1786169
446	1441655	1783524
447	1443956	1779160
448	1446756	1775418
449	1450007	1772231
450	1452404	1768005
451	1455479	1764607
452	1458549	1761206
453	1461343	1757474
454	1464386	1754045
455	1466813	1749883
456	1470216	1746887
457	1473937	1744266
458	1477355	1741283
459	1479704	1737044
460	1482779	1733662
461	1485798	1730216
462	1488355	1726235
463	1491687	1723155
464	1494158	1719085
465	1497078	1715536
466	1500923	1713045
467	1504591	1710347
